                                                title1                                                |                                                  title2                                                  
 (#1.1)                                                                                               | Buddy Buddy
 (#1.1)                                                                                               | Carnosaur 3: Primal Species
 (#1.1)                                                                                               | Carol Burnett/Armie Hammer/Lang Lang and Friends
 (#1.1)                                                                                               | Chariots of Fire
 (#1.1)                                                                                               | Chelsea Handler/Eric Bana/D'Angelo & Princess
 (#1.1)                                                                                               | Chris Pine/Joanna Lumley/Troye Sivan
 (#1.1)                                                                                               | Chris Rock: Bigger & Blacker
 (#1.1)                                                                                               | Chris Rock: Never Scared
 (#1.1)                                                                                               | Cinéma Vérité: Defining the Moment
 (#1.1)                                                                                               | Circle the Wagons
 (#1.1)                                                                                               | Citizen Max
 (#1.1)                                                                                               | Close Shave
 (#1.1)                                                                                               | Colin Firth/Jack McBrayer & Triumph the Insult Comic Dog/The Weeknd
 (#1.1)                                                                                               | Collision Course
 (#1.1)                                                                                               | Confidentially Yours
 (#1.1)                                                                                               | Cracks in the Wall
 (#1.1)                                                                                               | Crash of Moons
 (#1.1)                                                                                               | Crocodile Dundee
 (#1.1)                                                                                               | David Duchovny/Puff Daddy/Jimmy Page
 (#1.1)                                                                                               | Dean Martin
 (#1.1)                                                                                               | Death Is a Bitch
 (#1.1)                                                                                               | Denis Leary/Shay Mitchell/G-Eazy
 (#1.1)                                                                                               | Die Hard
 (#1.1)                                                                                               | Doctor Who
 (#1.1)                                                                                               | Doctor Who
 (#1.1)                                                                                               | Don't Leave Me This Way
 (#1.1)                                                                                               | Doomed
 (#1.1)                                                                                               | Doomsday Machine
 (#1.1)                                                                                               | Down and Out with Donald Duck
 (#1.1)                                                                                               | Drake/Megyn Kelly/Meghan Trainor
 (#1.1)                                                                                               | Driving Miss Daisy
 (#1.1)                                                                                               | Driving Miss Gilmore
 (#1.1)                                                                                               | Dungeons and Dragons, Anyone?
 (#1.1)                                                                                               | Ed Asner/The Kinks
 (#1.1)                                                                                               | Egon on the Rampage
 (#1.1)                                                                                               | Eighteen Years Lost
 (#1.1)                                                                                               | Electric Boogaloo: The Wild, Untold Story of Cannon Films
 (#1.1)                                                                                               | Elephant's Memory
